Grade Number,Class,Unit,Question,Answer
6,sixth science,lesson 2,"explain the advantages of storing information in the way of the ancients (writing on stones, wood, trees and painting on the walls of caves)?","materials such as stone and wood are easily accessible and abundant, they do not harm the environment and there is no need to cut down trees."
6,sixth science,lesson 2,state the disadvantages of storing information the way of the past?,"writing on these materials was difficult and time-consuming, some of them were difficult to move and in some cases they were not transferable, materials such as wood would rot after some time and stone would crumble over time due to natural factors and would disappear"
6,sixth science,lesson 2,why did humans think of new ways to record and store information?,"because with the passage of time due to various factors including the increase of the earth's surface, a lot of scientific information and cultural and social works were produced."
6,sixth science,lesson 2,what was the oldest way to record and store information?,paintings on the walls of caves
6,sixth science,lesson 2,what are natural ingredients?,"materials such as stone, wool, skin and wood that are found naturally are called natural materials"
6,sixth science,lesson 2,what are synthetic materials?,"materials that are not found naturally, but are made from materials found in nature, are called synthetic materials."
6,sixth science,lesson 2,at what time and in what land did muslims manage to acquire the knowledge of making paper?,"around 700 years after christ, in a land called samarkand (one of the old cities of iran, which today is one of the cities of uzbekistan)"
6,sixth science,lesson 2,what is the use of paper in each of the following activities?,"photographer: photo printing
confectionery: box of sweets
student: notebook, book
tailor: dress pattern
poultry: comb the egg
bank: bank receipts, documents, bills"
6,sixth science,lesson 2,what is the main and raw material needed to make paper?,wood
6,sixth science,lesson 2,which parts of the tree are suitable for making paper?,"among the components of the tree, only the strong stem and trunk and the wooden branches of the sturdy trees are suitable for making paper."
6,sixth science,lesson 2,"in the production of paper from wood, which step is a type of chemical change?",turning small pieces of wood into pulp and removing its color
6,sixth science,lesson 2,17. what are the characteristics of hydrogen peroxide?,"it has color removal properties, but it cannot remove the color of all materials, it must be stored in a cool and dark place so that it does not decompose."
6,sixth science,lesson 2,18. what should be observed when using oxygenated water?,"avoid contact of hydrogen peroxide with the skin, do not use in a closed space"
6,sixth science,lesson 2,19. name some substances that have color removal properties?,"oxygenated water, chlorine gas, chlorinated water (bleach)"
6,sixth science,lesson 2,how to make different types of paper?,by adding different chemicals to pulp
6,sixth science,lesson 2,23. what are the results of cutting too many trees?,"the balance of the cycle of oxygen and carbon dioxide is disturbed, it causes warming of the earth and air pollution, and it causes the destruction of the habitat of various plant and animal species."
6,sixth science,lesson 2,what measures can be taken to prevent or reduce the effect of indiscriminate cutting of trees and destruction of forests in the lives of living beings?,"1. cultivation among people to prevent damaging trees
2. recycling waste paper in order to prevent cutting down trees
3. popular tree culture among the people
4. save paper consumption
5. prevention of unauthorized constructions in the forest by the relevant officials"
6,sixth science,lesson 2,how does paper recycling protect the environment?,"this saves raw materials such as wood, and also reduces costs and saves electricity, water, and fuel."
6,sixth science,lesson 2,what papers cannot be recycled?,"colored paper, food grade paper, tissue graded with sanitary waste, egg comb made from recycled paper."
6,sixth science,lesson 13,1) what is the reason for the increase in paper consumption around the world?,a sharp increase in population
6,sixth science,lesson 1,what is a meteorite?,"a meteorite is a meteorite that has fallen to earth. in fact, all objects moving in space that fall to earth are called meteorites."
6,sixth science,lesson 1,what happens when a meteor hits the earth? and why the diameter and depth of the created pits are not the same?,a deep hole is created in the ground. because the weight and size of meteorites are different.
6,sixth science,lesson 1,what effect does the impact speed of the meteorite have on the diameter of the crater?,"the faster the meteorite hits the earth, the larger the diameter of the hole will be."
6,sixth science,lesson 1,what is observation?,"accurate use of the five senses, which is accompanied by note-taking and information gathering."
6,sixth science,lesson 1,what is a good test?,a test that can be done with simple equipment and can be repeated.
6,sixth science,lesson 1,7- what is the difference between observation and seeing?,observation is not only through the eyes and is accompanied by precision.
6,sixth science,lesson 1,what is hypothesizing?,possible answers to a problem or test
6,sixth science,lesson 1,what does estimation mean?,a guess close to reality is called an estimate.
6,sixth science,lesson 1,what is a theory?,a hypothesis that can be proven correct by conducting an experiment is called a theory
6,sixth science,lesson 2,in what ways did our ancestors record and store information?,1. painting on the walls of caves 2. writing on wood 3. writing on leather 4. writing on stone
6,sixth science,lesson 13,"2) with this amount of paper consumption, is it possible to produce it by traditional and manual methods?",no
6,sixth science,lesson 13,3) what kind of materials and tools are used in the paper factory? what is the material used?,"saws, graters, rollers, grinders, wood chippers, and dough making pots are made of iron."
6,sixth science,lesson 13,4) which characteristics of iron have caused this metal to be widely used in most large industries?,"- it is abundant, the cost of its extraction is lower than other metals, it is hard and strong."
6,sixth science,lesson 13,5) why are large iron rollers used to dry paper pulp and turn it into thin sheets?,"because
1- iron is a hard, heavy and resistant metal
2- it causes the paper sheets to drain quickly."
6,sixth science,lesson 13,6) name some characteristics of iron?,"iron is a hard and strong metal.
it is found in abundance in nature.
it rusts quickly in humidity and open air.
its density is high."
6,sixth science,lesson 13,7) how many metals can you name?,"iron, gold, copper, aluminum, mercury, lead and..."
6,sixth science,lesson 13,8) what is the name of the only liquid metal?,mercury
6,sixth science,lesson 13,9) which of the three metals (copper-lead and aluminum) has the highest density and which has the lowest density?,copper metal has the highest density and aluminum metal has the lowest density.
6,sixth science,lesson 13,10) write the general characteristics of metals?,"1- except for mercury, all metals are solid. 2- they are conductors of electricity.
3- they are heat conductors. 4- they are malleable and can be wired.
5- they have a high melting temperature, density and hardness. 6- they have a smooth and polished surface."
6,sixth science,lesson 13,11) how is stainless steel made?,"if a coating of chromium, zinc, or manganese is applied to iron metal, stainless iron is produced."
6,sixth science,lesson 13,12) write other names of ahan zangzan?,it is also called non-rusting iron (galvanized iron or white iron).
6,sixth science,lesson 13,13) which metal is toxic?,metals lead and mercury are toxic.
6,sixth science,lesson 13,14) what metal is used to make each of the following items? why,"a) ornaments: gold → because it does not rust and is bright and beautiful.
b) car body: iron → because it is strong and malleable.
c) tablet coating: aluminum → because it is malleable and has the ability to be made into sheets.
d) electric wire: copper → because it is a good conductor of electricity."
6,sixth science,lesson 13,"15) in addition to hydrogen peroxide, what else is used in the preparation of paper pulp?",of acid
6,sixth science,lesson 13,16) where is acid used?,in daily life and in industries
6,sixth science,lesson 13,17) how many categories are acids divided into?,two categories: 1- edible acids - 2- industrial acids
6,sixth science,lesson 13,19) what is the essence of salt?,it is a strong industrial acid that cannot be touched or eaten.
6,sixth science,lesson 13,20) what do edible acids taste like?,they taste sour.
6,sixth science,lesson 13,21) name some fruits that have edible acid?,"sour lemon, orange and kiwi"
6,sixth science,lesson 13,22) what is ph paper?,it is a means of identifying acids.
6,sixth science,lesson 13,23) what points should be observed when using salt ink at home?,"avoid direct contact with the hand, also avoid breathing the vapor from the salt ink solution."
6,sixth science,lesson 13,"24) what will happen if we mix crushed marble with essence of salt, vinegar and water in three separate glasses?","marble dissolves in the essence of salt, but only a little of it dissolves in vinegar and does not dissolve in water."
6,sixth science,lesson 13,25) what happens if we dip a leaf of a plant in salt essence?,the essence of salt by absorbing the water in the leaves of the plant dries and burns it.
6,sixth science,lesson 13,"26) why does factory wastewater enter rivers, fields, etc. does it harm them?","because the waste water of factories, which often have acid properties, causes damage or death to living beings."
