Question,Answer
what are the ancient hills and how were they created?,"ancient hills are one of the important archaeological sites. when people live in the same place in different periods of time, several ancient layers are gradually placed on top of each other. so far, a large number of these hills have been identified and excavated in iran."
what are the work steps of archaeologists?,1- discovering and identifying the location of historical artifacts. 2- excavation. 3- extraction. 4- adjusting the information.
how is the location of ancient artifacts discovered?,"a: some ancient works or places of ancient works, by referring to historical books, travelogues, etc., new and advanced tools and technologies such as drones, radar, aerial photographs, satellite images, electromagnetic methods, etc. have been
b: some ancient works have been revealed by chance (agricultural, civil, flood and earthquake). (like the salt men of zanjan) were discovered by chance.
p: some ancient works have been discovered through illegal excavations and smuggling (like jiroft civilization in kerman province)!"
how to dig the place of historical monuments?,"excavation is one of the sensitive stages of archaeologists' work and requires a lot of knowledge, experience and accuracy; because with the smallest mistake, great damage may be done to the monuments and historical monuments that are being explored."
what are the first things to do after excavating the site of ancient artifacts?,"after digging and excavating, first they determine the plan of that building. also, if they come across an object, they first take a picture of it in the same state and record its characteristics accurately. then they take it out of the soil and continue in the workshop or equipped laboratory."
what information do archaeologists extract from ancient artifacts?,"provincial historians examine and study the discovered ancient works or buildings in terms of age, materials and materials used in them, as well as their uses. (classification of ancient works)
in addition, archaeologists try to understand the progress of technical, artistic and cultural developments of past people by comparing ancient works and monuments in different times. and various civilizations, they explain the relations of past societies and their cultural and economic effects on each other."
how to determine the age of ancient artifacts?,"today, archaeologists use advanced scientific methods such as the radiocarbon method and a more advanced method known as ""potassium-argon"" to date and determine the age of ancient artifacts. in these methods, knowledge such as chemistry, physics, botany, geology, etc. is used."
what kind of place are museums?,"museums are the most important places for collecting, preserving, restoring, studying and displaying ancient artifacts."
explain the relationship between archeology and history.,"archeology and history are closely related. on the one hand, archaeologists use historians' writings to identify, discover and study ancient works and places, and on the other hand, the results of archaeologists' excavations are a valuable source for historians' research."
what has archeology contributed to history?,"the study and understanding of the very long prehistoric era is mainly based on archaeological excavations. therefore, most of the knowledge and information that has been obtained so far about the lives of humans and societies in the prehistoric era is the result of the scientific research of archaeologists."
what has archeology contributed to the prehistoric period?,"archeology has made a great contribution to the study of the historical period. written sources are not enough to fully understand this period, especially its beginning. on the other hand, most of the information in written sources is related to political and military events and the description of rulers' actions. therefore, archaeological excavations and scientific findings of archaeologists help historians to better understand the different dimensions of social, economic, scientific and cultural life of people and societies of the historical period."
what does archeology have to do with cultural heritage?,"in addition to discovering and introducing the human cultural heritage, archeology has a more important role in the restoration and maintenance of this precious heritage."
what are the periods before history?,it is said to be a long period of human life that began with his appearance in the gati region and lasted until the invention of the line and the expansion of civilization about 5000 years ago. our knowledge of this period is based on archaeological excavations.
